,Film ID,01-004,Title,,Date and time film loaded,11/4/2001,08:32:29,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,75mm,2.8,="1/350",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,11/4/2001,12:07:24,OFF,,,
,2,75mm,2.8,="1/1000",3.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,12:07:41,OFF,,,
,3,170mm,2.8,="1/1000",3.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,12:07:49,OFF,,,
,4,165mm,2.8,="1/350",3.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,12:08:07,OFF,,,
,5,140mm,2.8,="1/350",3.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,12:08:31,OFF,,,
,6,80mm,2.8,="1/1500",4.0,,-1.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,12:10:14,OFF,,,
,7,80mm,2.8,="1/750",4.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,12:10:16,OFF,,,
,8,80mm,2.8,="1/350",4.0,,+1.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,12:10:17,OFF,,,
,9,80mm,2.8,="1/1500",4.0,,-1.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,12:11:22,OFF,,,
,10,80mm,2.8,="1/750",4.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,12:11:25,OFF,,,
,11,80mm,2.8,="1/350",4.0,,+1.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,12:11:26,OFF,,,
,12,195mm,2.8,="1/750",4.0,,-1.0,0.0,OFF,Evaluative,Aperture-priority AE,Low-speed continuous,One-Shot AF,,11/4/2001,12:21:23,OFF,,,
,13,195mm,2.8,="1/350",4.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Low-speed continuous,One-Shot AF,,11/4/2001,12:21:26,OFF,,,
,14,195mm,2.8,="1/180",4.0,,+1.0,0.0,OFF,Evaluative,Aperture-priority AE,Low-speed continuous,One-Shot AF,,11/4/2001,12:21:27,OFF,,,
,15,195mm,2.8,="1/1000",4.0,,-1.0,0.0,OFF,Evaluative,Aperture-priority AE,High-speed continuous,One-Shot AF,,11/4/2001,12:21:47,OFF,,,
,16,70mm,2.8,="1/350",4.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,13:04:43,OFF,,,
,17,75mm,2.8,="1/1000",4.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,13:05:11,OFF,,,
,18,70mm,2.8,="1/1000",4.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,13:05:29,OFF,,,
,19,100mm,2.8,="1/1000",4.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,13:06:41,OFF,,,
,20,200mm,2.8,="1/350",3.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,13:07:06,OFF,,,
,21,400mm,5.6,="1/250",5.6,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,13:11:42,OFF,,,
,22,400mm,5.6,="1/750",5.6,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,13:12:10,OFF,,,
,23,70mm,2.8,="1/500",3.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,15:45:32,OFF,,,
,24,100mm,2.8,="1/350",5.6,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,15:46:01,OFF,,,
,25,140mm,2.8,="1/350",3.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,15:46:44,OFF,,,
,26,390mm,5.6,="1/500",5.6,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,15:48:11,OFF,,,
,27,400mm,5.6,="1/500",5.6,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,11/4/2001,15:48:42,OFF,,,
,28,20mm,2.8,="1/45",9.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,Manual focus,,11/4/2001,15:57:48,OFF,,,
,29,20mm,2.8,="1/45",9.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,Manual focus,,11/4/2001,15:57:50,OFF,,,
,30,20mm,2.8,="1/60",9.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,Manual focus,,11/4/2001,15:57:53,OFF,,,
,31,20mm,2.8,="1/125",9.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,Manual focus,,11/4/2001,15:59:41,OFF,,,
,32,20mm,2.8,="1/180",9.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,Manual focus,,11/4/2001,16:00:52,OFF,,,
,33,20mm,2.8,="1/90",13,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,Manual focus,,11/4/2001,16:07:14,OFF,,,
,34,20mm,2.8,="1/30",2.8,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,Manual focus,,11/4/2001,16:13:44,OFF,,,
,35,20mm,2.8,="1/30",2.8,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,Manual focus,,11/4/2001,16:56:02,OFF,,,
,36,20mm,2.8,="1/750",2.8,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,Manual focus,,11/4/2001,16:56:25,OFF,,,
