,Film ID,01-013,Title,,Date and time film loaded,15/4/2001,11:31:53,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,20mm,2.8,="1/320",9.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,11:38:15,OFF,,,
,2,20mm,2.8,="1/320",9.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,11:38:41,OFF,,,
,3,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,11:39:52,OFF,,,
,4,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,11:40:22,OFF,,,
,5,20mm,2.8,="1/320",9.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,11:41:01,OFF,,,
,6,195mm,2.8,="1/800",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,11:42:43,OFF,,,
,7,200mm,2.8,="1/800",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,11:42:51,OFF,,,
,8,200mm,2.8,="1/800",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,11:42:55,OFF,,,
,9,185mm,2.8,="1/800",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,11:43:01,OFF,,,
,10,200mm,2.8,="1/640",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,11:43:08,OFF,,,
