,Film ID,01-002,Title,,Date and time film loaded,7/4/2001,06:50:46,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,20mm,2.8,="1/10",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,7/4/2001,06:51:39,OFF,,,
,2,20mm,2.8,="1/15",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,7/4/2001,12:59:54,OFF,,,
,3,20mm,2.8,="1/45",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,7/4/2001,13:12:32,OFF,,,
,4,20mm,2.8,="1/10",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,8/4/2001,07:05:14,OFF,,,
,5,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,8/4/2001,14:51:38,OFF,,,
,6,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,8/4/2001,14:51:43,OFF,,,
,7,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,8/4/2001,14:51:55,OFF,,,
,8,20mm,2.8,="1/45",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,8/4/2001,14:52:08,OFF,,,
,9,20mm,2.8,="1/90",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,8/4/2001,14:52:37,OFF,,,
,10,20mm,2.8,="1/60",16,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,8/4/2001,14:57:13,OFF,,,
,11,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,8/4/2001,14:58:23,OFF,,,
,12,20mm,2.8,="1/180",6.7,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,8/4/2001,14:58:42,OFF,,,
,13,200mm,2.8,="1/350",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,8/4/2001,15:01:48,OFF,,,
,14,20mm,2.8,="1/60",5.6,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,8/4/2001,20:32:40,OFF,,,
,15,20mm,2.8,="1/60",4.0,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,8/4/2001,20:32:58,OFF,,,
,16,20mm,2.8,="1/60",2.8,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,8/4/2001,20:33:14,OFF,,,
,17,20mm,2.8,="1/45",3.5,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,8/4/2001,20:49:18,OFF,,,
,18,20mm,2.8,="1/30",3.5,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,8/4/2001,20:49:44,OFF,,,
,19,20mm,2.8,="1/60",4.0,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,9/4/2001,08:09:10,OFF,,,
,20,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,9/4/2001,08:14:50,OFF,,,
,21,20mm,2.8,="1/45",3.5,,0.0,0.0,OFF,Spot,Program AE,Single-frame,One-Shot AF,,9/4/2001,08:15:37,OFF,,,
,22,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,9/4/2001,08:16:01,OFF,,,
,23,200mm,2.8,="1/180",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,9/4/2001,09:51:00,OFF,,,
,24,20mm,2.8,="1/350",9.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,9/4/2001,13:29:50,OFF,,,
,25,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,9/4/2001,13:30:32,OFF,,,
,26,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,9/4/2001,13:31:08,OFF,,,
,27,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,9/4/2001,13:31:40,OFF,,,
,28,20mm,2.8,="1/60",4.0,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,Manual focus,,9/4/2001,14:28:26,OFF,,,
,29,20mm,2.8,="1/60",4.5,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,Manual focus,,9/4/2001,14:28:37,OFF,,,
,30,20mm,2.8,="1/90",5.6,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,Manual focus,,9/4/2001,14:28:51,OFF,,,
,31,20mm,2.8,="1/60",5.6,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,Manual focus,,9/4/2001,14:29:01,OFF,,,
