,Film ID,01-015,Title,,Date and time film loaded,15/4/2001,17:54:27,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:58:02,OFF,,,
,2,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:58:27,OFF,,,
,3,100mm,2.8,="1/500",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,06:42:59,OFF,,,
,4,100mm,2.8,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,06:43:16,OFF,,,
,5,100mm,2.8,="1/500",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,06:43:45,OFF,,,
,6,100mm,2.8,="1/25",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,06:43:52,OFF,,,
,7,100mm,2.8,="1/320",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,06:55:26,OFF,,,
,8,100mm,2.8,="1/320",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,06:55:36,OFF,,,
,9,100mm,2.8,="1/250",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,06:55:58,OFF,,,
,10,100mm,2.8,="1/640",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,06:56:36,OFF,,,
,11,108mm,2.8,="1/400",5.6,,-0.7,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,08:37:51,OFF,,,
,12,200mm,2.8,="1/1000",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,08:38:25,OFF,,,
,13,110mm,2.8,="1/640",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,08:38:56,OFF,,,
,14,200mm,2.8,="1/320",5.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,16/4/2001,09:10:16,OFF,,,
,15,75mm,2.8,="1/320",4.5,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,16/4/2001,09:10:24,OFF,,,
