,Film ID,01-009,Title,,Date and time film loaded,13/4/2001,14:49:38,Frame count,36,ISO (DX),200
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,20mm,2.8,="1/25",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:54:22,OFF,,,
,2,20mm,2.8,="1/20",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:54:31,OFF,,,
,3,20mm,2.8,="1/25",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:54:41,OFF,,,
,4,20mm,2.8,="1/50",3.5,,0.0,0.0,OFF,Evaluative,Program AE,10-sec. self-timer,One-Shot AF,,13/4/2001,16:06:01,OFF,,,
,5,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,17:56:15,OFF,,,
,6,20mm,2.8,="1/40",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,17:59:03,OFF,,,
,7,20mm,2.8,="1/40",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,17:59:13,OFF,,,
,8,200mm,2.8,="1/1000",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,14/4/2001,07:24:54,OFF,,,
,9,195mm,2.8,="1/800",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,14/4/2001,07:25:03,OFF,,,
,10,70mm,2.8,="1/500",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,14/4/2001,07:25:16,OFF,,,
,11,70mm,2.8,="1/200",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,14/4/2001,07:25:20,OFF,,,
,12,70mm,2.8,="1/250",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,14/4/2001,07:25:36,OFF,,,
,13,20mm,2.8,="1/320",9.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,14/4/2001,07:27:45,OFF,,,
,14,93mm,2.8,="1/500",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,14/4/2001,13:41:52,OFF,,,
,15,115mm,2.8,="1/500",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,14/4/2001,13:42:21,OFF,,,
,16,93mm,2.8,="1/500",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,14/4/2001,13:42:42,OFF,,,
,17,70mm,2.8,="1/500",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,14/4/2001,13:43:13,OFF,,,
,18,70mm,2.8,="1/320",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,14/4/2001,14:52:26,OFF,,,
,19,110mm,2.8,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,14/4/2001,14:52:51,OFF,,,
,20,70mm,2.8,="1/500",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,14/4/2001,17:08:02,OFF,,,
,21,70mm,2.8,="1/500",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,14/4/2001,17:09:47,OFF,,,
