,Film ID,01-017,Title,,Date and time film loaded,16/4/2001,17:48:38,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,85mm,2.8,="1/400",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:49:38,OFF,,,
,2,200mm,2.8,="1/500",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:50:00,OFF,,,
,3,98mm,2.8,="1/500",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:50:19,OFF,,,
,4,150mm,2.8,="1/500",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:50:32,OFF,,,
,5,120mm,2.8,="1/400",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:53:02,OFF,,,
,6,70mm,2.8,="1/125",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:55:00,OFF,,,
,7,108mm,2.8,="1/200",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:55:21,OFF,,,
,8,73mm,2.8,="1/160",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:55:42,OFF,,,
,9,75mm,2.8,="1/125",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:56:10,OFF,,,
,10,120mm,2.8,="1/125",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,17:57:27,OFF,,,
,11,155mm,2.8,="1/400",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,18:00:56,OFF,,,
,12,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,18:03:07,OFF,,,
,13,170mm,2.8,="1/250",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,18:04:19,OFF,,,
,14,170mm,2.8,="1/250",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,18:05:54,OFF,,,
,15,145mm,2.8,="1/200",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,16/4/2001,18:06:00,OFF,,,
