,Film ID,01-021,Title,,Date and time film loaded,19/4/2001,16:42:35,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,200mm,2.8,="1/800",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,16:43:47,OFF,,,
,2,200mm,2.8,="1/800",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,16:43:58,OFF,,,
,3,93mm,2.8,="1/500",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,16:44:31,OFF,,,
,4,400mm,5.6,="1/400",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,16:45:39,OFF,,,
,5,400mm,5.6,="1/400",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,16:46:02,OFF,,,
,6,400mm,5.6,="1/500",6.3,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,16:46:16,OFF,,,
,7,300mm,5.6,="1/500",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,16:46:23,OFF,,,
,8,400mm,5.6,="1/320",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,16:46:30,OFF,,,
,9,400mm,5.6,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,16:47:16,OFF,,,
,10,350mm,5.6,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,16:47:30,OFF,,,
,11,70mm,2.8,="1/500",4.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,16:47:51,OFF,,,
,12,70mm,2.8,="1/500",3.2,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,16:47:57,OFF,,,
,13,165mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,16:48:05,OFF,,,
,14,200mm,2.8,="1/250",9.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,16:48:15,OFF,,,
,15,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,16:53:47,OFF,,,
,16,200mm,2.8,="1/500",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,16:56:06,OFF,,,
,17,200mm,2.8,="1/320",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,17:10:08,OFF,,,
,18,190mm,2.8,="1/400",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,17:10:18,OFF,,,
,19,140mm,2.8,="1/320",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,17:10:54,OFF,,,
,20,70mm,2.8,="1/400",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,17:13:38,OFF,,,
,21,200mm,2.8,="1/640",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,17:13:41,OFF,,,
