,Film ID,01-018,Title,,Date and time film loaded,17/4/2001,15:26:46,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,200mm,2.8,="1/640",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,17/4/2001,17:08:48,OFF,,,
,2,200mm,2.8,="1/500",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,17/4/2001,17:09:01,OFF,,,
,3,108mm,2.8,="1/200",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,17/4/2001,17:09:05,OFF,,,
,4,200mm,2.8,="1/1250",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,17/4/2001,17:09:46,OFF,,,
,5,200mm,2.8,="1/640",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,17/4/2001,17:09:48,OFF,,,
,6,200mm,2.8,="1/500",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,17/4/2001,17:11:44,OFF,,,
,7,200mm,2.8,="1/500",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,17/4/2001,17:12:42,OFF,,,
,8,370mm,5.6,="1/250",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,17/4/2001,17:14:24,OFF,,,
,9,370mm,5.6,="1/320",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,17/4/2001,17:14:58,OFF,,,
,10,370mm,5.6,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,17/4/2001,17:15:32,OFF,,,
,11,380mm,5.6,="1/250",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,17/4/2001,17:16:22,OFF,,,
,12,370mm,5.6,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,17/4/2001,17:17:07,OFF,,,
,13,370mm,5.6,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,17/4/2001,17:17:12,OFF,,,
,14,280mm,5.6,="1/320",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,17/4/2001,17:17:25,OFF,,,
,15,400mm,5.6,="1/200",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,17/4/2001,17:21:34,OFF,,,
,16,160mm,5.6,="1/160",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,17/4/2001,17:21:58,OFF,,,
,17,400mm,5.6,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,17/4/2001,17:22:37,OFF,,,
,18,140mm,5.6,="1/30",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,17/4/2001,17:23:10,OFF,,,
,19,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,17/4/2001,17:26:40,OFF,,,
