,Film ID,01-006,Title,,Date and time film loaded,12/4/2001,09:33:12,Frame count,36,ISO (DX),200
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,100mm,2.8,="1/60",4.0,,0.0,0.0,TTL autoflash,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,09:34:14,OFF,,,
,2,100mm,2.8,="1/60",4.0,,0.0,0.0,TTL autoflash,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,09:34:57,OFF,,,
,3,100mm,2.8,="1/125",3.5,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,09:35:34,OFF,,,
,4,100mm,2.8,="1/125",3.5,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,09:35:46,OFF,,,
,5,100mm,2.8,="1/125",3.5,,,0.0,OFF,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,09:35:54,OFF,,,
,6,100mm,2.8,="1/125",3.5,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,09:36:17,OFF,,,
,7,100mm,2.8,="1/125",3.5,,,0.0,OFF,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,09:36:17,OFF,,,
,8,100mm,2.8,="1/125",3.5,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,09:36:26,OFF,,,
,9,100mm,2.8,="1/90",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,09:37:00,OFF,,,
,10,100mm,2.8,="1/60",4.0,,0.0,0.0,TTL autoflash,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,09:37:22,OFF,,,
,11,100mm,2.8,="1/60",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,09:37:36,OFF,,,
,12,100mm,2.8,="1/60",4.0,,0.0,0.0,TTL autoflash,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,09:38:05,OFF,,,
,13,100mm,2.8,="1/90",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,09:38:52,OFF,,,
,14,100mm,2.8,="1/90",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,09:39:03,OFF,,,
,15,100mm,2.8,="1/60",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,09:39:14,OFF,,,
,16,100mm,2.8,="1/60",4.0,,0.0,0.0,TTL autoflash,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,09:39:26,OFF,,,
,17,100mm,2.8,="1/60",4.0,,0.0,0.0,TTL autoflash,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,09:39:38,OFF,,,
,18,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,12/4/2001,09:41:46,OFF,,,
,19,20mm,2.8,="1/90",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,12/4/2001,09:42:00,OFF,,,
,20,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,12/4/2001,09:42:31,OFF,,,
,21,20mm,2.8,="1/45",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,12/4/2001,09:43:10,OFF,,,
,22,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,12/4/2001,09:43:22,OFF,,,
,23,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,12/4/2001,09:43:42,OFF,,,
,24,20mm,2.8,="1/90",4.5,,0.0,0.0,OFF,Spot,Program AE,Single-frame,Manual focus,,12/4/2001,09:44:30,OFF,,,
,25,20mm,2.8,="1/45",3.5,,0.0,0.0,OFF,Spot,Program AE,Single-frame,Manual focus,,12/4/2001,09:45:06,OFF,,,
,26,20mm,2.8,="1/45",3.5,,0.0,0.0,OFF,Spot,Program AE,Single-frame,Manual focus,,12/4/2001,09:45:43,OFF,,,
,27,20mm,2.8,="1/180",6.7,,0.0,0.0,OFF,Spot,Program AE,Single-frame,Manual focus,,12/4/2001,09:46:05,OFF,,,
,28,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Spot,Program AE,Single-frame,Manual focus,,12/4/2001,09:46:34,OFF,,,
,29,100mm,2.8,="1/125",6.7,,0.0,0.0,OFF,Spot,Program AE,Single-frame,One-Shot AF,,12/4/2001,11:03:03,OFF,,,
,30,100mm,2.8,="1/250",4.5,,0.0,0.0,OFF,Spot,Program AE,Single-frame,One-Shot AF,,12/4/2001,11:03:10,OFF,,,
,31,100mm,2.8,="1/180",3.5,,0.0,0.0,OFF,Spot,Program AE,Single-frame,One-Shot AF,,12/4/2001,11:03:18,OFF,,,
,32,200mm,2.8,="1/250",3.5,,0.0,0.0,OFF,Spot,Program AE,Single-frame,One-Shot AF,,12/4/2001,11:04:50,OFF,,,
,33,200mm,2.8,="1/350",4.0,,0.0,0.0,OFF,Spot,Program AE,Single-frame,One-Shot AF,,12/4/2001,11:05:04,OFF,,,
,34,175mm,2.8,="1/180",2.8,,0.0,0.0,OFF,Spot,Program AE,Single-frame,One-Shot AF,,12/4/2001,11:05:15,OFF,,,
,35,20mm,2.8,="1/90",4.5,,0.0,0.0,OFF,Spot,Program AE,Single-frame,Manual focus,,12/4/2001,11:22:47,OFF,,,
,36,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Spot,Program AE,Single-frame,Manual focus,,12/4/2001,11:23:52,OFF,,,
