,Film ID,01-010,Title,,Date and time film loaded,14/4/2001,18:02:13,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,20mm,2.8,="1/160",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,07:00:11,OFF,,,
,2,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,07:00:29,OFF,,,
,3,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,07:00:45,OFF,,,
,4,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,07:01:46,OFF,,,
,5,200mm,2.8,="1/200",5.0,,0.0,0.0,OFF,Spot,Shutter-speed-priority AE,Single-frame,Manual focus,,15/4/2001,07:03:32,OFF,,,
,6,200mm,2.8,="1/200",5.0,,0.0,0.0,OFF,Spot,Shutter-speed-priority AE,Single-frame,Manual focus,,15/4/2001,07:03:36,OFF,,,
,7,200mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Spot,Shutter-speed-priority AE,Single-frame,Manual focus,,15/4/2001,07:03:41,OFF,,,
,8,195mm,2.8,="1/200",6.3,,+1.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,Manual focus,,15/4/2001,07:04:14,OFF,,,
,9,200mm,2.8,="1/200",5.0,,+1.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,Manual focus,,15/4/2001,07:04:27,OFF,,,
,10,190mm,2.8,="1/400",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,07:06:05,OFF,,,
,11,180mm,2.8,="1/500",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,07:06:11,OFF,,,
,12,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:18:48,OFF,,,
,13,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:18:58,OFF,,,
,14,20mm,2.8,="1/160",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:19:06,OFF,,,
,15,200mm,2.8,="1/640",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:19:45,OFF,,,
,16,100mm,2.8,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:19:51,OFF,,,
,17,200mm,2.8,="1/1250",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:20:07,OFF,,,
,18,95mm,2.8,="1/500",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:20:16,OFF,,,
,19,85mm,2.8,="1/400",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:20:25,OFF,,,
,20,70mm,2.8,="1/400",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:20:56,OFF,,,
,21,150mm,2.8,="1/1000",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:21:08,OFF,,,
,22,180mm,2.8,="1/500",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:21:23,OFF,,,
,23,160mm,2.8,="1/640",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:21:28,OFF,,,
,24,200mm,2.8,="1/640",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:21:38,OFF,,,
,25,180mm,2.8,="1/640",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:21:47,OFF,,,
,26,200mm,2.8,="1/640",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:22:03,OFF,,,
,27,200mm,2.8,="1/640",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:22:13,OFF,,,
,28,70mm,2.8,="1/400",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:22:30,OFF,,,
,29,20mm,2.8,="1/50",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:25:38,OFF,,,
,30,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:26:34,OFF,,,
,31,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:26:43,OFF,,,
,32,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:28:00,OFF,,,
,33,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:29:01,OFF,,,
,34,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:32:25,OFF,,,
,35,20mm,2.8,="1/40",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:33:30,OFF,,,
,36,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,08:35:41,OFF,,,
