,Film ID,01-023,Title,,Date and time film loaded,20/4/2001,13:09:12,Frame count,36,ISO (DX),64
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,200mm,2.8,="1/400",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,20/4/2001,13:10:01,OFF,,,
,2,195mm,2.8,="1/320",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,20/4/2001,13:13:42,OFF,,,
,3,200mm,2.8,="1/320",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,20/4/2001,13:15:22,OFF,,,
,4,140mm,2.8,="1/250",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,20/4/2001,13:16:31,OFF,,,
,5,185mm,2.8,="1/320",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,20/4/2001,13:24:24,OFF,,,
,6,195mm,2.8,="1/320",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,20/4/2001,13:32:23,OFF,,,
,7,195mm,2.8,="1/320",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,20/4/2001,13:32:31,OFF,,,
,8,200mm,2.8,="1/250",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,20/4/2001,13:49:12,OFF,,,
,9,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,20/4/2001,14:03:22,OFF,,,
,10,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,20/4/2001,14:03:54,OFF,,,
,11,20mm,2.8,="1/100",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,20/4/2001,14:07:07,OFF,,,
,12,20mm,2.8,="1/200",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,20/4/2001,14:20:12,OFF,,,
,13,20mm,2.8,="1/10",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,20/4/2001,16:14:21,OFF,,,
,14,20mm,2.8,="1/15",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,21/4/2001,15:10:06,OFF,,,
,15,20mm,2.8,="1/60",3.5,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,21/4/2001,15:10:13,OFF,,,
,16,20mm,2.8,="1/60",3.5,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,21/4/2001,15:10:24,OFF,,,
,17,20mm,2.8,="1/60",4.0,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,21/4/2001,15:10:34,OFF,,,
,18,20mm,2.8,="1/60",2.8,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,21/4/2001,15:10:43,OFF,,,
,19,20mm,2.8,="1/13",2.8,,0.0,0.0,OFF,Center Averaging,Program AE,Single-frame,One-Shot AF,,22/4/2001,14:36:09,OFF,,,
,20,20mm,2.8,="1/20",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,15:52:51,OFF,,,
,21,20mm,2.8,="1/15",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,15:53:07,OFF,,,
,22,20mm,2.8,="1/50",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,15:53:30,OFF,,,
,23,20mm,2.8,="1/100",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,15:54:00,OFF,,,
,24,20mm,2.8,="1/40",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,16:01:09,OFF,,,
,25,20mm,2.8,="1/30",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,16:01:15,OFF,,,
,26,70mm,2.8,="1/160",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,16:02:31,OFF,,,
,27,93mm,2.8,="1/250",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,16:02:42,OFF,,,
,28,70mm,2.8,="1/250",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,16:03:03,OFF,,,
,29,200mm,2.8,="1/400",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,16:03:31,OFF,,,
,30,160mm,2.8,="1/400",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,16:04:03,OFF,,,
,31,160mm,2.8,="1/400",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,16:04:18,OFF,,,
,32,20mm,2.8,="1/60",3.5,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,16:07:23,OFF,,,
,33,20mm,2.8,="1/60",2.8,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,16:07:39,OFF,,,
,34,20mm,2.8,="1/60",2.8,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,16:08:04,OFF,,,
,35,20mm,2.8,="1/60",5.0,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,16:25:29,OFF,,,
,36,20mm,2.8,="1/60",4.0,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,22/4/2001,16:25:39,OFF,,,
