,Film ID,01-003,Title,,Date and time film loaded,9/4/2001,18:15:57,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,75mm,2.8,="1/250",3.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,9/4/2001,18:16:53,OFF,,,
,2,75mm,2.8,="1/250",3.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,9/4/2001,18:17:04,OFF,,,
,3,85mm,2.8,="1/125",3.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,9/4/2001,18:22:25,OFF,,,
,4,200mm,2.8,="1/1500",2.8,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,10/4/2001,11:59:41,OFF,,,
,5,200mm,2.8,="1/1500",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,11:59:56,OFF,,,
,6,70mm,2.8,="1/250",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:00:15,OFF,,,
,7,70mm,2.8,="1/250",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:00:18,OFF,,,
,8,70mm,2.8,="1/90",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:00:38,OFF,,,
,9,70mm,2.8,="1/90",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:00:50,OFF,,,
,10,200mm,2.8,="1/500",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:01:27,OFF,,,
,11,200mm,2.8,="1/500",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:01:28,OFF,,,
,12,75mm,2.8,="1/250",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:01:32,OFF,,,
,13,200mm,2.8,="1/350",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:01:54,OFF,,,
,14,70mm,2.8,="1/250",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:02:39,OFF,,,
,15,70mm,2.8,="1/350",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:03:02,OFF,,,
,16,200mm,2.8,="1/500",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:03:45,OFF,,,
,17,80mm,2.8,="1/500",6.7,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:04:16,OFF,,,
,18,200mm,2.8,="1/750",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:04:18,OFF,,,
,19,200mm,2.8,="1/750",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:04:20,OFF,,,
,20,200mm,2.8,="1/500",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,12:51:27,OFF,,,
,21,70mm,2.8,="1/60",5.6,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,13:00:35,OFF,,,
,22,70mm,2.8,="1/60",6.7,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,13:00:46,OFF,,,
,23,70mm,2.8,="1/60",6.7,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,13:00:59,OFF,,,
,24,32mm,3.5,="1/60",3.5,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,13:59:05,OFF,,,
,25,32mm,3.5,="1/60",5.6,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,13:59:15,OFF,,,
,26,31mm,3.5,="1/60",5.6,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,13:59:30,OFF,,,
,27,31mm,3.5,="1/60",5.6,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,13:59:45,OFF,,,
,28,70mm,2.8,="1/250",6.7,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,14:01:46,OFF,,,
,29,70mm,2.8,="1/250",6.7,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,14:01:57,OFF,,,
,30,93mm,2.8,="1/500",6.7,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,14:02:14,OFF,,,
,31,200mm,2.8,="2""",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,10/4/2001,20:24:43,OFF,,,
,32,98mm,2.8,="1/500",6.7,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,11/4/2001,08:29:15,OFF,,,
,33,105mm,2.8,="1/500",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,11/4/2001,08:29:25,OFF,,,
,34,200mm,2.8,="1/500",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,11/4/2001,08:29:49,OFF,,,
,35,70mm,2.8,="1/125",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,11/4/2001,08:29:59,OFF,,,
,36,200mm,2.8,="1/180",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,11/4/2001,08:31:14,OFF,,,
