,Film ID,01-005,Title,,Date and time film loaded,11/4/2001,16:57:01,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,200mm,2.8,="1/750",4.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,12/4/2001,06:39:50,OFF,,,
,2,400mm,5.6,="1/350",5.6,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,12/4/2001,06:41:07,OFF,,,
,3,250mm,5.6,="1/350",5.6,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,12/4/2001,06:41:25,OFF,,,
,4,140mm,5.6,="1/350",5.6,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,12/4/2001,06:41:39,OFF,,,
,5,210mm,5.6,="1/180",5.6,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,12/4/2001,06:41:47,OFF,,,
,6,78mm,2.8,="1/500",4.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,12/4/2001,06:43:27,OFF,,,
,7,70mm,2.8,="1/1000",4.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,12/4/2001,06:43:34,OFF,,,
,8,195mm,2.8,="1/60",4.5,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,07:57:09,OFF,,,
,9,70mm,2.8,="1/60",4.0,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,07:57:18,OFF,,,
,10,135mm,2.8,="1/60",3.5,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,07:57:41,OFF,,,
,11,120mm,2.8,="1/180",4.0,,,0.0,OFF,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,07:58:09,OFF,,,
,12,70mm,2.8,="1/180",4.0,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,07:59:08,OFF,,,
,13,200mm,2.8,="1/125",3.5,,,0.0,OFF,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,07:59:31,OFF,,,
,14,93mm,2.8,="1/125",3.5,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,07:59:44,OFF,,,
,15,105mm,2.8,="1/125",3.5,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,08:00:12,OFF,,,
,16,200mm,2.8,="1/125",3.5,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,08:07:37,OFF,,,
,17,200mm,2.8,="1/125",3.5,,,0.0,OFF,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,08:07:44,OFF,,,
,18,70mm,2.8,="1/125",3.5,,,0.0,OFF,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,08:07:47,OFF,,,
,19,70mm,2.8,="1/125",3.5,,,0.0,OFF,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,08:07:49,OFF,,,
,20,70mm,2.8,="1/125",3.5,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,08:07:51,OFF,,,
,21,100mm,2.8,="1/125",16,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,Manual focus,,12/4/2001,09:10:59,OFF,,,
,22,100mm,2.8,="1/125",16,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,Manual focus,,12/4/2001,09:11:05,OFF,,,
,23,100mm,2.8,="1/125",22,,,0.0,OFF,Evaluative,Manual exposure,Single-frame,Manual focus,,12/4/2001,09:11:13,OFF,,,
,24,20mm,2.8,="1/45",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,12/4/2001,09:22:22,OFF,,,
,25,20mm,2.8,="1/45",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,12/4/2001,09:22:31,OFF,,,
,26,20mm,2.8,="1/20",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,12/4/2001,09:22:48,OFF,,,
,27,20mm,2.8,="1/20",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,12/4/2001,09:23:06,OFF,,,
,28,20mm,2.8,="1/45",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,Manual focus,,12/4/2001,09:23:19,OFF,,,
,29,20mm,2.8,="1/30",4.5,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,Manual focus,,12/4/2001,09:23:38,OFF,,,
,30,20mm,2.8,="1/30",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,Manual focus,,12/4/2001,09:24:32,OFF,,,
,31,20mm,2.8,="1/30",4.5,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,Manual focus,,12/4/2001,09:28:57,OFF,,,
,32,20mm,2.8,="1/30",4.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,Manual focus,,12/4/2001,09:29:31,OFF,,,
,33,20mm,2.8,="1/30",3.5,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,Manual focus,,12/4/2001,09:29:48,OFF,,,
,34,20mm,2.8,="1/30",4.5,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,Manual focus,,12/4/2001,09:30:06,OFF,,,
,35,20mm,2.8,="1/30",4.5,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,Manual focus,,12/4/2001,09:30:37,OFF,,,
,36,20mm,2.8,="1/30",4.5,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,Manual focus,,12/4/2001,09:30:53,OFF,,,
