,Film ID,01-007,Title,,Date and time film loaded,12/4/2001,11:43:04,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,20mm,2.8,="0.3""",2.8,,0.0,0.0,OFF,Spot,Program AE,Single-frame,One-Shot AF,,12/4/2001,11:58:41,OFF,,,
,2,20mm,2.8,="1/350",9.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:01:11,OFF,,,
,3,20mm,2.8,="1/350",9.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:01:35,OFF,,,
,4,20mm,2.8,="1/350",9.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:01:46,OFF,,,
,5,20mm,2.8,="1/45",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:01:57,OFF,,,
,6,20mm,2.8,="1/45",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:02:12,OFF,,,
,7,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:02:19,OFF,,,
,8,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:02:26,OFF,,,
,9,20mm,2.8,="1/350",9.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:03:01,OFF,,,
,10,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:03:35,OFF,,,
,11,20mm,2.8,="1/350",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:03:42,OFF,,,
,12,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:03:50,OFF,,,
,13,20mm,2.8,="1/45",3.5,,0.0,0.0,OFF,Spot,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:05:52,OFF,,,
,14,20mm,2.8,="1/90",4.0,,0.0,0.0,OFF,Spot,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:06:06,OFF,,,
,15,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:07:34,OFF,,,
,16,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:08:33,OFF,,,
,17,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:09:15,OFF,,,
,18,200mm,2.8,="1/500",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:16:16,OFF,,,
,19,200mm,2.8,="1/750",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:16:22,OFF,,,
,20,70mm,2.8,="1/350",6.7,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:16:29,OFF,,,
,21,155mm,2.8,="1/500",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:16:34,OFF,,,
,22,200mm,2.8,="1/750",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:16:39,OFF,,,
,23,70mm,2.8,="1/500",6.7,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:16:54,OFF,,,
,24,200mm,2.8,="1/350",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:19:15,OFF,,,
,25,135mm,2.8,="1/350",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:19:30,OFF,,,
,26,140mm,2.8,="1/350",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:19:56,OFF,,,
,27,140mm,2.8,="1/350",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:20:03,OFF,,,
,28,200mm,2.8,="1/500",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,12:20:21,OFF,,,
,29,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,14:17:38,OFF,,,
,30,20mm,2.8,="1/30",11,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,17:41:16,OFF,,,
,31,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,17:41:36,OFF,,,
