,Film ID,01-008,Title,,Date and time film loaded,12/4/2001,17:46:34,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,20mm,2.8,="1/60",2.8,,0.0,-0.3,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,12/4/2001,23:17:10,OFF,,,
,2,20mm,2.8,="1/40",3.2,,,0.0,TTL autoflash,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,23:18:08,OFF,,,
,3,20mm,2.8,="1/40",3.2,,,0.0,OFF,Evaluative,Manual exposure,Single-frame,One-Shot AF,,12/4/2001,23:18:24,OFF,,,
,4,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,06:48:20,OFF,,,
,5,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,06:48:25,OFF,,,
,6,20mm,2.8,="1/20",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,06:48:57,OFF,,,
,7,200mm,2.8,="1/500",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,08:33:32,OFF,,,
,8,200mm,2.8,="1/250",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,08:33:47,OFF,,,
,9,200mm,2.8,="1/400",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,08:34:23,OFF,,,
,10,200mm,2.8,="1/640",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,08:34:40,OFF,,,
,11,200mm,2.8,="1/400",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,08:34:50,OFF,,,
,12,130mm,2.8,="1/320",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,08:35:10,OFF,,,
,13,150mm,2.8,="1/400",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,08:35:28,OFF,,,
,14,200mm,2.8,="1/400",4.0,,+1.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,08:35:59,OFF,,,
,15,200mm,2.8,="1/400",4.0,,+1.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,08:36:07,OFF,,,
,16,90mm,2.8,="1/200",4.0,,+1.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,08:36:19,OFF,,,
,17,20mm,2.8,="1/60",5.0,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,08:40:08,OFF,,,
,18,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:18:24,OFF,,,
,19,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:18:31,OFF,,,
,20,20mm,2.8,="1/160",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:22:54,OFF,,,
,21,20mm,2.8,="1/160",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:23:07,OFF,,,
,22,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:23:15,OFF,,,
,23,20mm,2.8,="1/160",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:23:19,OFF,,,
,24,20mm,2.8,="1/20",16,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:24:43,OFF,,,
,25,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:25:47,OFF,,,
,26,20mm,2.8,="1/15",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:28:59,OFF,,,
,27,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:30:31,OFF,,,
,28,20mm,2.8,="1/100",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,13/4/2001,14:30:43,OFF,,,
