,Film ID,01-019,Title,,Date and time film loaded,18/4/2001,10:05:50,Frame count,36,ISO (DX),64
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,20mm,2.8,="1/100",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,18/4/2001,17:19:53,OFF,,,
,2,20mm,2.8,="1/100",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,18/4/2001,17:20:02,OFF,,,
,3,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,18/4/2001,17:20:07,OFF,,,
,4,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,18/4/2001,17:20:18,OFF,,,
,5,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,18/4/2001,17:21:34,OFF,,,
,6,20mm,2.8,="1/100",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,18/4/2001,17:22:25,OFF,,,
,7,20mm,2.8,="1/40",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,18/4/2001,17:23:04,OFF,,,
,8,20mm,2.8,="1/160",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,18/4/2001,17:23:57,OFF,,,
,9,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,18/4/2001,17:40:20,OFF,,,
,10,20mm,2.8,="1/60",4.5,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,18/4/2001,19:57:27,OFF,,,
,11,20mm,2.8,="1/60",3.5,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,18/4/2001,19:57:35,OFF,,,
,12,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,07:23:47,OFF,,,
,13,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,07:24:05,OFF,,,
,14,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,07:24:12,OFF,,,
,15,20mm,2.8,="1/50",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,07:24:38,OFF,,,
,16,20mm,2.8,="1/100",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,07:25:14,OFF,,,
,17,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,07:25:47,OFF,,,
,18,20mm,2.8,="1/160",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,07:26:06,OFF,,,
,19,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,07:27:20,OFF,,,
,20,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,08:12:54,OFF,,,
,21,80mm,2.8,="1/100",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,08:14:44,OFF,,,
,22,200mm,2.8,="1/125",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,08:14:59,OFF,,,
,23,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,10:10:12,OFF,,,
,24,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,10:10:13,OFF,,,
,25,20mm,2.8,="1/160",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,10:10:24,OFF,,,
,26,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,10:10:30,OFF,,,
,27,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,10:10:46,OFF,,,
,28,100mm,2.8,="1/320",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,10:50:48,OFF,,,
,29,100mm,2.8,="1/640",3.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,10:51:04,OFF,,,
,30,100mm,2.8,="1/640",3.5,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,10:51:20,OFF,,,
,31,100mm,2.8,="1/800",4.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,10:52:12,OFF,,,
,32,100mm,2.8,="1/1000",4.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,10:52:33,OFF,,,
,33,100mm,2.8,="1/320",8.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,10:52:55,OFF,,,
,34,100mm,2.8,="1/160",8.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,10:54:27,OFF,,,
,35,100mm,2.8,="1/200",8.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,10:54:53,OFF,,,
,36,100mm,2.8,="1/80",8.0,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,10:55:04,OFF,,,
