,Film ID,01-020,Title,,Date and time film loaded,19/4/2001,10:56:41,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,400mm,5.6,="1/400",6.3,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,11:21:00,OFF,,,
,2,340mm,5.6,="1/400",6.3,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,11:21:56,OFF,,,
,3,400mm,5.6,="1/640",6.3,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,12:08:12,OFF,,,
,4,240mm,5.6,="1/800",6.3,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,12:08:18,OFF,,,
,5,400mm,5.6,="1/640",6.3,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:10:02,OFF,,,
,6,400mm,5.6,="1/500",6.3,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:10:07,OFF,,,
,7,400mm,5.6,="1/500",6.3,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:10:14,OFF,,,
,8,300mm,5.6,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Aperture-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:36:22,OFF,,,
,9,300mm,5.6,="1/400",7.1,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:36:58,OFF,,,
,10,300mm,5.6,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:37:10,OFF,,,
,11,300mm,5.6,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:37:16,OFF,,,
,12,400mm,5.6,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:37:47,OFF,,,
,13,400mm,5.6,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:37:55,OFF,,,
,14,140mm,5.6,="1/100",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:38:31,OFF,,,
,15,140mm,5.6,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:38:43,OFF,,,
,16,400mm,5.6,="1/400",8.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:39:03,OFF,,,
,17,215mm,5.6,="1/320",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:39:18,OFF,,,
,18,390mm,5.6,="1/640",6.3,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:40:11,OFF,,,
,19,390mm,5.6,="1/640",6.3,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:41:04,OFF,,,
,20,390mm,5.6,="1/640",6.3,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:41:33,OFF,,,
,21,400mm,5.6,="1/640",6.3,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,19/4/2001,13:42:22,OFF,,,
