,Film ID,01-022,Title,,Date and time film loaded,19/4/2001,18:04:50,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,95mm,2.8,="1/400",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,18:05:56,OFF,,,
,2,70mm,2.8,="1/320",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,18:06:15,OFF,,,
,3,20mm,2.8,="1/30",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,18:21:44,OFF,,,
,4,20mm,2.8,="1/40",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,18:21:48,OFF,,,
,5,20mm,2.8,="1/60",2.8,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,21:14:31,OFF,,,
,6,20mm,2.8,="1/60",2.8,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,21:14:48,OFF,,,
,7,20mm,2.8,="1/60",2.8,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,21:15:03,OFF,,,
,8,70mm,2.8,="1/60",9.0,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,22:09:24,OFF,,,
,9,70mm,2.8,="1/60",6.3,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,22:09:44,OFF,,,
,10,70mm,2.8,="1/60",7.1,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,22:10:26,OFF,,,
,11,130mm,2.8,="1/60",5.6,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,19/4/2001,22:10:33,OFF,,,
