,Film ID,01-012,Title,,Date and time film loaded,15/4/2001,09:26:52,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,20mm,2.8,="1/50",3.2,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,09:27:56,OFF,,,
,2,20mm,2.8,="1/50",6.3,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,09:28:07,OFF,,,
,3,20mm,2.8,="1/50",8.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,09:28:12,OFF,,,
,4,20mm,2.8,="1/50",4.0,,0.0,0.0,OFF,Spot,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,09:28:23,OFF,,,
,5,20mm,2.8,="1/13",2.8,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,10:39:35,OFF,,,
,6,20mm,2.8,="1/40",2.8,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,10:39:56,OFF,,,
,7,20mm,2.8,="0.3""",2.8,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,10:40:05,OFF,,,
,8,20mm,2.8,="1/4",2.8,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,10:40:57,OFF,,,
,9,20mm,2.8,="1/30",2.8,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,10:41:29,OFF,,,
,10,20mm,2.8,="1/15",2.8,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,10:41:41,OFF,,,
,11,20mm,2.8,="1/6",2.8,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,10:42:19,OFF,,,
,12,20mm,2.8,="1/10",2.8,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,10:42:42,OFF,,,
,13,20mm,2.8,="1/13",2.8,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,10:43:10,OFF,,,
,14,20mm,2.8,="1/6",2.8,,-1.3,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,10:43:39,OFF,,,
,15,20mm,2.8,="1/15",2.8,,,0.0,OFF,Evaluative,Manual exposure,Single-frame,One-Shot AF,,15/4/2001,10:45:14,OFF,,,
,16,20mm,2.8,="1/15",2.8,,,0.0,OFF,Evaluative,Manual exposure,Single-frame,One-Shot AF,,15/4/2001,10:45:36,OFF,,,
,17,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,10:49:19,OFF,,,
,18,20mm,2.8,="1/30",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,10:49:37,OFF,,,
,19,20mm,2.8,="1/4",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,10:49:43,OFF,,,
,20,20mm,2.8,="1/30",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,10:50:05,OFF,,,
,21,20mm,2.8,="1/30",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,10:50:21,OFF,,,
,22,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,10:50:30,OFF,,,
,23,20mm,2.8,="1/15",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,10:50:54,OFF,,,
,24,20mm,2.8,="1/13",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,10:51:08,OFF,,,
,25,20mm,2.8,="1/60",3.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,10:51:44,OFF,,,
,26,20mm,2.8,="1/50",3.2,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,10:51:54,OFF,,,
,27,20mm,2.8,="1/15",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,10:54:26,OFF,,,
,28,400mm,5.6,="1/60",5.6,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,11:01:39,OFF,,,
,29,400mm,5.6,="1/60",5.6,,0.0,0.0,A-TTL,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,11:02:03,OFF,,,
,30,400mm,5.6,="1/15",5.6,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,11:03:12,OFF,,,
,31,20mm,2.8,="1/200",5.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,11:08:29,OFF,,,
,32,20mm,2.8,="1/50",2.8,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,11:12:58,OFF,,,
,33,20mm,2.8,="1/200",8.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,11:13:43,OFF,,,
,34,20mm,2.8,="1/200",9.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,11:13:57,OFF,,,
,35,20mm,2.8,="1/200",8.0,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,11:21:04,OFF,,,
,36,20mm,2.8,="1/100",10,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,11:30:39,OFF,,,
