,Film ID,01-014,Title,,Date and time film loaded,15/4/2001,12:06:39,Frame count,36,ISO (DX),100
,Remarks,

,Frame No.,Focal length,Max. aperture,Tv,Av,ISO (M),Exposure compensation,Flash exposure compensation,Flash mode,Metering mode,Shooting mode,Film advance mode,AF mode,Bulb exposure time,Date,Time,Multiple exposure,Battery-loaded date,Battery-loaded time,Remarks
,1,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,15:51:36,OFF,,,
,2,20mm,2.8,="1/320",9.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,15:52:18,OFF,,,
,3,20mm,2.8,="1/100",16,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,15:52:35,OFF,,,
,4,20mm,2.8,="1/100",16,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,15:52:43,OFF,,,
,5,20mm,2.8,="1/100",14,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,15:52:49,OFF,,,
,6,20mm,2.8,="1/100",14,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,15:53:09,OFF,,,
,7,20mm,2.8,="1/100",13,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,16:20:51,OFF,,,
,8,20mm,2.8,="1/100",13,,0.0,0.0,OFF,Evaluative,Shutter-speed-priority AE,Single-frame,One-Shot AF,,15/4/2001,16:21:36,OFF,,,
,9,20mm,2.8,="1/320",9.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,16:23:11,OFF,,,
,10,20mm,2.8,="1/320",9.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,16:23:21,OFF,,,
,11,180mm,2.8,="1/400",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,16:30:25,OFF,,,
,12,200mm,2.8,="1/400",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,16:30:36,OFF,,,
,13,145mm,2.8,="1/400",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,16:30:42,OFF,,,
,14,150mm,2.8,="1/800",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,16:30:56,OFF,,,
,15,140mm,2.8,="1/400",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,16:41:13,OFF,,,
,16,70mm,2.8,="1/400",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:36:31,OFF,,,
,17,85mm,2.8,="1/500",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:37:01,OFF,,,
,18,70mm,2.8,="1/320",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:37:56,OFF,,,
,19,85mm,2.8,="1/100",2.8,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:40:33,OFF,,,
,20,20mm,2.8,="1/160",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:43:07,OFF,,,
,21,200mm,2.8,="1/640",5.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:47:13,OFF,,,
,22,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:48:22,OFF,,,
,23,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:48:34,OFF,,,
,24,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:48:47,OFF,,,
,25,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:48:51,OFF,,,
,26,20mm,2.8,="1/60",4.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:48:59,OFF,,,
,27,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:49:08,OFF,,,
,28,20mm,2.8,="1/250",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:49:26,OFF,,,
,29,20mm,2.8,="1/125",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:49:41,OFF,,,
,30,20mm,2.8,="1/80",4.5,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:50:04,OFF,,,
,31,20mm,2.8,="1/160",5.6,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:50:23,OFF,,,
,32,20mm,2.8,="1/250",8.0,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:50:33,OFF,,,
,33,20mm,2.8,="1/160",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:50:35,OFF,,,
,34,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:50:54,OFF,,,
,35,20mm,2.8,="1/200",7.1,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:51:25,OFF,,,
,36,20mm,2.8,="1/160",6.3,,0.0,0.0,OFF,Evaluative,Program AE,Single-frame,One-Shot AF,,15/4/2001,17:52:51,OFF,,,
